iteration,elapsed_time,avg_distance,min_distance,max_distance,avg_movement,total_movement,vertices_too_close,vertices_too_far
0,30.987895727157593,18.75865478636317,0.9964609562036113,52.862726576639524,0.025319472999668323,402.7062180597247,146,14981
1,61.91944432258606,18.735864414722695,0.9859373501609995,52.92334006471737,0.046807613547397396,744.4750934713555,146,14975
2,94.34225177764893,18.704902979069228,0.9736483265442555,53.00763206084839,0.06501098755883523,1033.9997571232743,146,14971
3,125.92675685882568,18.66687726593134,0.9623086492277886,53.112025143788586,0.08039831646948768,1278.7352234472016,145,14965
4,158.02663135528564,18.622683722218806,0.9546925666675076,53.23347084238732,0.09337231518636521,1485.0866730391388,146,14965
5,189.27763271331787,18.5732540933624,0.9510417305039917,53.36935566668274,0.1042774881161169,1658.5334484868392,149,14953
6,220.7783465385437,18.52053430565438,0.9472792655877852,53.517438207646,0.11341020172760616,1803.789258477576,151,14944
7,252.12380504608154,18.46272019717815,0.9432607266488999,53.67579608172428,0.12102403884154889,1924.887337774835,150,14934
8,283.4082987308502,18.402765781230684,0.9390431911770898,53.8427618550376,0.12733668082607327,2025.2899085386953,155,14916
9,314.51087164878845,18.341316138414758,0.934662988385993,54.01692275677597,0.13253461572903075,2107.963063170234,158,14894
10,346.5653941631317,18.277690546876435,0.930135496188464,54.19704064178802,0.13677872816450837,2175.465671456506,165,14883
11,378.59714365005493,18.212277325878794,0.9260747254959508,54.382058020390424,0.1402067360449122,2229.9881367943285,175,14869
12,410.0817484855652,18.146386949261945,0.981304829979068,54.571061555549626,0.14293679264539222,2273.409687024963,181,14845
13,441.4540514945984,18.07820135617162,0.9949103167147918,54.75697440348968,0.14506981811845268,2307.33545717399,183,14832
14,472.77506470680237,18.010465165579394,0.982646209154185,54.94382147730675,0.14669306106786772,2333.153136284436,192,14813
15,504.6693387031555,17.943634487638718,1.026438671034192,55.131920342265495,0.14788048264914103,2352.039076534588,195,14803
16,536.6911451816559,17.875018952840765,1.1130358600389811,55.320782985436395,0.14869600602747376,2365.0099758669703,200,14784
17,567.9579031467438,17.805403311719676,1.1081464219763066,55.50999140178881,0.1491929805603886,2372.914355812981,205,14764
18,599.454038143158,17.73464545631154,1.1032569338067117,55.699197725179715,0.14942105475415007,2376.541875864757,211,14745
19,632.1297068595886,17.667286213625307,1.0983762379175477,55.88808541503768,0.14941777150987814,2376.489655864612,220,14727
20,663.4739310741425,17.59818351952062,1.0935105697538878,56.07641362244615,0.14921539506836642,2373.270858562368,223,14718
21,695.1141541004181,17.5300023603044,1.0886600130994222,56.26396064993876,0.14885272137113423,2367.50253340789,223,14692
22,726.5213522911072,17.462996879308236,1.0838442716608445,56.45054057477621,0.1483518969407428,2359.536920842514,226,14670
23,758.1040577888489,17.394895117653846,1.1051877112875983,56.63600641943522,0.14773153258207145,2349.6700257178463,230,14653
24,789.5326015949249,17.329339218717102,1.079601375803438,56.82022529254706,0.14701177970800097,2338.2223562557556,237,14632
25,821.0096735954285,17.26254242616349,0.9158736482419481,57.003084017778846,0.14620946805938356,2325.4615894844956,238,14606
26,852.3825345039368,17.196550453166616,0.8396886324555587,57.184505111891525,0.14533672690539762,2311.5806414303493,248,14580
27,883.8392715454102,17.133315748370062,0.8425751145607101,57.36440146810681,0.1444068701222383,2296.7912692942,256,14559
28,915.7067575454712,17.069684130186843,0.854051024427261,57.54272527957238,0.1434286943085526,2281.233382977529,266,14534
29,947.1075611114502,17.005540187491526,0.8716127465112364,57.719424728412264,0.14241081755763138,2265.044053254127,271,14517
30,978.1577498912811,16.94288157522062,0.8947348636790404,57.89445892434403,0.1413612737684306,2248.351059286889,275,14497
31,1009.2192893028259,16.88157855082283,0.922823773492137,58.06779300881304,0.1402849440144668,2231.232034550095,283,14488
32,1040.1841320991516,16.818704104590058,0.9552760063347879,58.23941399493319,0.13919065012559995,2213.827290247667,289,14472
33,1071.1153264045715,16.756966481938683,0.9915078833684089,58.409297628154405,0.1380797839738205,2196.1589641036153,299,14459
34,1102.1357505321503,16.695397336248696,0.8456140868021721,58.57743963613083,0.1369560053677953,2178.2852653747846,311,14434
35,1133.192298412323,16.63531709592337,0.7285380803692342,58.74382423820764,0.13582492209131025,2160.2953858622895,323,14405
36,1164.2998442649841,16.575416734810478,0.6670527676689427,58.908452637394326,0.13468819202900215,2142.215694221279,330,14398
37,1195.3414442539215,16.516285126844405,0.6927503574761894,59.07132480007827,0.1335434166290842,2124.0080414855843,337,14380
38,1226.3860070705414,16.457455693062943,0.7289028301975875,59.23244503715139,0.1324052688199695,2105.905800581615,341,14366
39,1257.3756449222565,16.399806789631473,0.7656887120243946,59.39181471057283,0.13126945504629578,2087.8406825113343,348,14351
40,1288.4922089576721,16.34149392352478,0.7945694458245545,59.549448168334955,0.13013497621841336,2069.7967967538643,354,14325
41,1319.5878257751465,16.28508429251764,0.6265024543731315,59.70534159939957,0.12900509211765943,2051.825990131373,364,14305
